City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
282,bosaso,11.2842,49.1816,83.23,68,100,7.2,SO,1649513595
283,pisco,-13.7,-76.2167,68.05,83,94,4.61,PE,1649513520
284,garbolovo,60.3413,30.4955,41.54,72,30,9.98,RU,1649513595
285,ojinaga,29.5667,-104.4167,59.95,25,0,0.0,MX,1649513595
286,derzhavinsk,51.1,66.3167,41.4,79,100,13.22,KZ,1649513595
287,humberto de campos,-2.5983,-43.4611,81.84,81,100,6.51,BR,1649513595
288,touros,-5.1989,-35.4608,87.31,60,21,16.51,BR,1649513596
289,marin,38.0666,-122.7344,51.26,77,0,12.66,US,1649513596
290,noumea,-22.2763,166.4572,81.0,99,63,12.41,NC,1649513596
291,saldanha,-33.0117,17.9442,71.26,42,0,13.71,ZA,1649513596
292,tiarei,-17.5333,-149.3333,78.82,80,100,17.94,PF,1649513596
293,quatre cocos,-20.2078,57.7625,80.1,78,13,12.1,MU,1649513596
294,bubaque,11.2833,-15.8333,76.23,75,72,7.7,GW,1649513596
295,sinop,41.7711,34.8709,65.48,41,60,7.07,TR,1649513596
296,havelock,34.8791,-76.9013,57.15,54,0,17.27,US,1649513596
297,codrington,-38.2667,141.9667,65.14,68,61,9.8,AU,1649513597
298,zdanice,49.0673,17.0275,48.18,52,100,16.78,CZ,1649513597
299,ust-shonosha,61.1531,41.343,40.62,94,100,5.14,RU,1649513597
300,kostomuksha,64.571,30.5767,34.52,81,80,14.18,RU,1649513597
301,pelym,61.0108,61.9978,34.38,95,100,7.25,RU,1649513597
302,krasnovishersk,60.4078,57.082,37.31,100,100,4.74,RU,1649513597
303,mpanda,-6.3655,31.0409,80.6,60,49,5.08,TZ,1649513597
304,itambacuri,-18.0311,-41.685,86.99,55,42,2.59,BR,1649513597
305,woodward,36.4337,-99.3904,54.63,28,0,18.41,US,1649513597
306,cayenne,4.9333,-52.3333,86.04,1,40,19.57,GF,1649513597
307,elko,41.0002,-115.5012,35.62,69,32,8.01,US,1649513597
308,caucasia,7.9865,-75.1935,80.44,83,99,4.29,CO,1649513598
309,baruun-urt,46.6806,113.2792,56.98,30,55,20.29,MN,1649513598
310,victor harbor,-35.5667,138.6167,66.63,57,56,6.51,AU,1649513598
311,vardo,70.3705,31.1107,35.69,97,100,27.42,NO,1649513598
